company_year_id,company_id,annual_report_id,ticker,name,cik,fiscal_year,filing_date,sec_accession_id,report_path,report_hash,file_format,file_size_bytes,extraction_status,form_type,data_version,created_at,updated_at
11,4,11,AMZN,Amazon.com Inc.,0001018724,2024,2024-02-02,0001018724-24-000008,data/raw/annual_reports/0001018724/2024/amzn_10k_2024.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:54:41.262044+11:00,
12,4,12,AMZN,Amazon.com Inc.,0001018724,2023,2023-02-03,0001018724-23-000004,data/raw/annual_reports/0001018724/2023/amzn_10k_2023.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:54:41.266343+11:00,
13,5,13,GOOGL,Alphabet Inc.,0001652044,2025,2025-02-05,0001652044-25-000014,data/raw/annual_reports/0001652044/2025/googl_10k_2025.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:54:43.274823+11:00,
14,5,14,GOOGL,Alphabet Inc.,0001652044,2024,2024-01-31,0001652044-24-000022,data/raw/annual_reports/0001652044/2024/googl_10k_2024.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:54:48.766749+11:00,
15,5,15,GOOGL,Alphabet Inc.,0001652044,2023,2023-02-03,0001652044-23-000016,data/raw/annual_reports/0001652044/2023/googl_10k_2023.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:54:48.769768+11:00,
16,6,16,TSLA,Tesla Inc.,0001318605,2025,2025-01-30,0001628280-25-003063,data/raw/annual_reports/0001318605/2025/tsla_10k_2025.txt,sha256:19069624d70f800c989045422851ac3b7d0101c8e9ea4a615f02a6a576f4198d,txt,15788647,pending,10-K,v1,2025-12-01T12:54:50.776482+11:00,2025-12-06T03:22:38.036412+11:00
17,6,19,TSLA,Tesla Inc.,0001318605,2024,2024-01-29,0001628280-24-002390,data/raw/annual_reports/0001318605/2024/tsla_10k_2024.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:57:13.758157+11:00,
18,7,20,JPM,JPMorgan Chase & Co.,0000019617,2025,2025-02-14,0000019617-25-000270,data/raw/annual_reports/0000019617/2025/jpm_10k_2025.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:57:15.765794+11:00,
19,7,21,JPM,JPMorgan Chase & Co.,0000019617,2024,2024-02-16,0000019617-24-000225,data/raw/annual_reports/0000019617/2024/jpm_10k_2024.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:57:26.286199+11:00,
20,7,22,JPM,JPMorgan Chase & Co.,0000019617,2023,2023-02-21,0000019617-23-000231,data/raw/annual_reports/0000019617/2023/jpm_10k_2023.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:57:26.293831+11:00,
21,8,38,JNJ,Johnson & Johnson,0000200406,2025,2025-02-13,0000200406-25-000038,data/raw/annual_reports/0000200406/2025/jnj_10k_2025.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,txt,24342209,pending,10-K,v1,2025-12-01T12:57:28.302257+11:00,
22,8,39,JNJ,Johnson & Johnson,0000200406,2024,2024-02-16,0000200406-24-000013,data/raw/annual_reports/0000200406/2024/jnj_10k_2024.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,txt,22222717,pending,10-K,v1,2025-12-01T12:57:34.220207+11:00,
23,8,40,JNJ,Johnson & Johnson,0000200406,2023,2023-02-16,0000200406-23-000016,data/raw/annual_reports/0000200406/2023/jnj_10k_2023.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,txt,24820081,pending,10-K,v1,2025-12-01T12:57:34.223001+11:00,
24,9,41,V,Visa Inc.,0001403161,2025,2025-11-06,0001403161-25-000089,data/raw/annual_reports/0001403161/2025/v_10k_2025.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,txt,20273752,pending,10-K,v1,2025-12-01T12:57:36.231434+11:00,
25,9,42,V,Visa Inc.,0001403161,2024,2024-11-13,0001403161-24-000058,data/raw/annual_reports/0001403161/2024/v_10k_2024.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,txt,20182344,pending,10-K,v1,2025-12-01T12:57:41.958707+11:00,
26,9,43,V,Visa Inc.,0001403161,2023,2023-11-15,0001403161-23-000099,data/raw/annual_reports/0001403161/2023/v_10k_2023.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,txt,19718853,pending,10-K,v1,2025-12-01T12:57:41.962031+11:00,
27,10,35,PG,Procter & Gamble Co.,0000080424,2025,2025-08-04,0000080424-25-000076,data/raw/annual_reports/0000080424/2025/pg_10k_2025.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,txt,15224910,pending,10-K,v1,2025-12-01T12:57:43.968071+11:00,
28,10,36,PG,Procter & Gamble Co.,0000080424,2024,2024-08-05,0000080424-24-000083,data/raw/annual_reports/0000080424/2024/pg_10k_2024.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,txt,15697275,pending,10-K,v1,2025-12-01T12:57:49.609872+11:00,
29,10,37,PG,Procter & Gamble Co.,0000080424,2023,2023-08-04,0000080424-23-000073,data/raw/annual_reports/0000080424/2023/pg_10k_2023.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,txt,14673218,pending,10-K,v1,2025-12-01T12:57:49.613340+11:00,
